name,orbital_period (days),periapsis (au),error,apoapsis (au),error
Mercury,87.96618357487922,0.30831259819641094,1.1083129226209308e-06,0.46672706622171417,4.818901053033218e-07
Venus,224.70186335403727,0.7185059344491099,1.4009524682552163e-06,0.7283984746522114,1.4502969616009186e-06
Earth,365.22222222222223,0.9833293058211561,3.192486526223621e-06,1.0167637551813202,3.06949527802059e-06
Moon,27.643669446550415,0.0024589767853939503,7.830147509433581e-07,0.0027402457979416937,1.660179577169037e-07
Mars,686.9615384615385,1.3812762645047865,1.58992801335653e-05,1.666068599938748,1.0782278078655833e-05
Jupiter,4335.857142857143,4.951834105003433,0.000552300092225968,5.454898290833089,0.0005436243588471511
Saturn,10750.0,9.018300817014818,0.004459950629823,10.05509781549429,0.005146809608305927
Uranus,nan,18.282319246447592,0.0,20.098935677493316,0.0
Neptune,nan,nan,nan,nan,nan
Pluto,nan,nan,nan,nan,nan
1P/Halley,nan,0.5929336538467146,0.0,34.24142299906557,0.0
