Sun,       1.98847E30, -6.450425881831445E-03,  6.166974430259968E-03,  9.938566472745274E-05, -7.004238923627361E-06, -5.488259108113237E-06,  2.177981956837387E-07
Mercury,   0.33011E24, -3.450603733204974E-01, -2.795676113485112E-01,  7.811435518170780E-03,  1.239114942612119E-02, -2.024470191439846E-02, -2.790948911377577E-03
Venus,     4.8685E24,  -7.226110738690660E-01, -6.046966258001521E-02,  4.051166668840099E-02,  1.742741068676992E-03, -2.023497013873599E-02, -3.783664094110186E-04
Earth,     5.97219E24,  3.146175652445695E-01,  9.381318304220807E-01,  5.371648583542187E-05, -1.654684976434503E-02,  5.534720922819564E-03, -5.925043477918221E-07
Moon,      0.07349E24,  3.141473428863187E-01,  9.407262043464859E-01,  1.396898138372252E-04, -1.710806748375250E-02,  5.409790297446889E-03,  4.842635088017215E-05
Mars,      0.64171E24,  9.416156655788525E-01,  1.132176051980665E+00,  4.388621384122243E-04, -1.017994579574365E-02,  1.019948166546036E-02,  4.636313682282512E-04
Jupiter,   1898.13E24,  2.859102848612524E+00, -4.219207216160985E+00, -4.646304221725187E-02,  6.154071261785691E-03,  4.591265621947183E-03, -1.566891800818325E-04
Saturn,    568.34E24,   5.356883656242901E+00, -8.423582567653490E+00, -6.680095164080072E-02,  4.396139188601294E-03,  2.980237693808164E-03, -2.271065075215946E-04
Uranus,    86.813E24,   1.541590289267177E+01,  1.238419821701563E+01, -1.537196550981135E-01, -2.492091753738411E-03,  2.883003508114648E-03,  4.320717726042452E-05
Neptune,   102.413E24,  2.943843694952835E+01, -5.315972128497014E+00, -5.689666366565561E-01,  5.367818129017716E-04,  3.108043178162535E-03, -7.596574608934391E-05
Pluto,     0.01307E24,  1.396881527916811E+01, -3.117014695788058E+01, -7.052307891421900E-01,  2.928137277645401E-03,  6.008961508105862E-04, -9.139634130984908E-04
1P/Halley, 2.2E14,     -2.022998960977975E+01,  2.677973175961167E+01, -9.979782805318132E+00,  2.645033449440636E-04,  5.186070051442019E-04, -1.347749643973222E-05
